loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_disc,st_glon,st_glat,st_radv,st_radverr1,st_radverr2,st_radvlim
3110,Kepler-623,b,Kepler-623 b,Transit,9.07097734,0.00001283,-0.00001283,0,,,,,,,,,,,,,,,,,0.269,0.030,-0.019,0,19h47m56.81s,296.986721,+47d28m38.6s,47.477390,811.00,95.06,-56.31,0,14.959,,0,5443.00,103.28,-85.59,0,0.90,0.04,-0.05,0,0.86,0.10,-0.06,0,2016-05-10,,,,,2016,81.057343,10.908917,,,,
3111,Kepler-624,b,Kepler-624 b,Transit,14.58649607,0.00002876,-0.00002876,0,,,,,,,,,,,,,,,,,0.206,0.029,-0.021,0,19h40m46.41s,295.193389,+39d32m22.8s,39.539677,731.00,105.32,-72.38,0,13.490,,0,6117.00,70.67,-63.28,0,1.10,0.05,-0.06,0,1.18,0.17,-0.11,0,2016-05-10,,,,,2016,73.354450,8.260701,,,,
3112,Kepler-625,b,Kepler-625 b,Transit,7.75192492,0.00001063,-0.00001063,0,,,,,,,,,,,,,,,,,0.178,0.005,-0.004,0,19h28m36.11s,292.150459,+39d38m15.3s,39.637581,502.00,15.91,-13.20,0,13.307,,0,5789.00,46.81,-43.94,0,1.04,0.02,-0.02,0,0.96,0.03,-0.02,0,2016-05-10,,,,,2016,72.339870,10.383402,,,,
3113,Kepler-625,c,Kepler-625 c,Transit,4.16536510,0.00001304,-0.00001304,0,,,,,,,,,,,,,,,,,0.094,0.004,-0.003,0,19h28m36.11s,292.150459,+39d38m15.3s,39.637581,502.00,15.91,-13.20,0,13.307,,0,5789.00,46.81,-43.94,0,1.04,0.02,-0.02,0,0.96,0.03,-0.02,0,2016-05-10,,,,,2016,72.339870,10.383402,,,,
3114,Kepler-626,b,Kepler-626 b,Transit,14.48585199,0.00002363,-0.00002363,0,,,,,,,,,,,,,,,,,0.204,0.025,-0.018,0,19h14m47.68s,288.698651,+39d42m29.8s,39.708288,690.00,82.19,-60.71,0,13.946,,0,5813.00,93.83,-94.62,0,1.01,0.05,-0.04,0,1.05,0.12,-0.09,0,2016-05-10,,,,,2016,71.226035,12.806776,,,,
3115,Kepler-627,b,Kepler-627 b,Transit,40.69944430,0.00017830,-0.00017830,0,,,,,,,,,,,,,,,,,0.333,0.143,-0.073,0,19h28m25.03s,292.104279,+39d46m04.5s,39.767914,1143.00,482.07,-215.07,0,13.949,,0,6424.00,160.13,-213.39,0,1.30,0.21,-0.14,0,1.49,0.64,-0.27,0,2016-05-10,,,,,2016,72.441978,10.473760,,,,
3116,Kepler-628,b,Kepler-628 b,Transit,15.45805670,0.00000295,-0.00000295,0,,,,,,,,,,,,,,,,,0.749,0.145,-0.126,0,19h21m47.82s,290.449257,+39d51m17.3s,39.854802,579.00,112.05,-97.69,0,13.398,,0,5721.00,47.04,-51.36,0,1.00,0.05,-0.04,0,1.28,0.25,-0.21,0,2016-05-10,,,,,2016,71.948978,11.652597,,,,
3117,Kepler-629,b,Kepler-629 b,Transit,7.23858540,0.00001180,-0.00001180,0,,,,,,,,,,,,,,,,,0.123,0.005,-0.004,0,19h17m40.28s,289.417832,+39d56m42.0s,39.945013,383.00,10.81,-11.12,0,13.359,,0,5444.00,71.98,-60.20,0,0.93,0.03,-0.03,0,0.84,0.02,-0.02,0,2016-05-10,,,,,2016,71.684746,12.405898,,,,
3118,Kepler-63,b,Kepler-63 b,Transit,9.43415050,0.00000100,-0.00000100,0,0.080000,0.002000,-0.002000,0,0.450000,,,1,87.806,0.018,-0.019,0,0.37800,,,1,0.545,0.018,-0.018,0,19h16m54.28s,289.226179,+49d32m53.5s,49.548203,200.00,15.00,-15.00,0,12.020,,0,5576.00,50.00,-50.00,0,0.98,0.04,-0.04,0,0.90,0.03,-0.02,0,2014-05-14,,,,,2013,80.688651,16.436420,-21.72,0.79,-0.79,0
3119,Kepler-630,b,Kepler-630 b,Transit,161.47439370,0.00090110,-0.00090110,0,,,,,,,,,,,,,,,,,0.284,0.030,-0.030,0,19h33m42.49s,293.427043,+39d56m32.8s,39.942437,657.00,70.56,-50.36,0,13.871,,0,5829.00,97.42,-98.87,0,1.02,0.04,-0.04,0,1.04,0.11,-0.08,0,2016-05-10,,,,,2016,73.069213,9.649046,,,,
